id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence
0fo53bqWHuxcAsi28m51tx,0.975,0.535,0.4166666666666667,0.12233333333333334,1.0,0.265,0.0488,3.22e-05,0.118,0.843
60eZwR3BMCP2yVkUBsD69O,0.862,0.673,0.4166666666666667,0.15185,1.0,0.3,0.277,0.0,0.101,0.801
15xfk8vQvVttTlh3tZn6db,0.84,0.515,0.9166666666666666,0.17541666666666667,0.0,0.363,0.628,0.0,0.0732,0.818
5upwOWGAayOuoLZ2rsBL5B,0.775,0.501,0.08333333333333333,0.12446666666666667,1.0,0.0711,0.00059,0.0,0.101,0.115
5EZf2ipS2YHAXTQNPfaWTT,0.469,0.733,0.5,0.10571666666666667,0.0,0.404,0.397,0.0,0.095,0.655
7l28SBHS3zmKDVnOzG8BM7,0.696,0.672,0.5,0.09175,0.0,0.0875,0.131,0.0,0.368,0.581
4bMLzfbjYJ9v3wvlpI6wtE,0.689,0.658,0.08333333333333333,0.12561666666666665,1.0,0.748,0.0794,0.0,0.235,0.689
1Tpn9QCsj746NNbDxQ24gr,0.867,0.616,0.4166666666666667,0.09008333333333333,0.0,0.169,0.292,0.0,0.253,0.495
0CGPIpPvTRqfg9KUVyYssq,0.752,0.597,0.5833333333333334,0.11756666666666667,1.0,0.367,0.033,0.0,0.104,0.617
12hVQgYR254ZziANtiKVWQ,0.734,0.692,0.16666666666666666,0.10378333333333334,0.0,0.0555,0.0221,0.0,0.224,0.348
3T3SeUjR8NhTzSE3NSDxkK,0.798,0.793,0.08333333333333333,0.06543333333333333,1.0,0.32,0.0665,0.0,0.297,0.494
1hg3RlqFZXJb5YgRoK9qmF,0.548,0.506,0.3333333333333333,0.1239,0.0,0.102,0.203,0.0001,0.0788,0.557
3CwcGdFwFF3DfHGGppdI4X,0.79,0.61,0.75,0.11596666666666668,0.0,0.102,0.0613,0.0,0.243,0.62
3F8oD67syaz0Hp68FXznni,0.903,0.621,0.6666666666666666,0.07618333333333333,1.0,0.203,0.0076,2.58e-05,0.0987,0.167
3esaWH2z62yl2daClRTk3U,0.786,0.701,0.5833333333333334,0.10835,0.0,0.222,0.189,0.0,0.109,0.601
0M52bTppxI3QQxan8ftIsY,0.574,0.812,0.75,0.06968333333333333,0.0,0.396,0.00757,0.0,0.15,0.488
3JDvRm0Rgj3E22AgI9EkyR,0.691,0.598,0.4166666666666667,0.12628333333333333,1.0,0.272,0.000323,7.98e-05,0.204,0.183
3PDbTEFp7A7u4oUztl5Bt4,0.85,0.481,0.0,0.15206666666666668,0.0,0.494,0.0406,0.0,0.113,0.231
30oHbnPSoRbyt4ibbU7v2G,0.7,0.728,0.9166666666666666,0.06761666666666667,1.0,0.704,0.563,0.0,0.112,0.367
6DqvLcHjCvStnV0w9eq6qg,0.696,0.602,0.08333333333333333,0.11701666666666667,0.0,0.281,0.0483,0.0,0.0819,0.474
1Qjxc9B445Y7Z0vzwWXtte,0.842,0.648,0.5,0.13936666666666667,1.0,0.271,0.0772,0.0,0.214,0.594
4fAeqd0YCun1qWC9oXZexA,0.768,0.788,0.5,0.09705000000000001,0.0,0.258,0.187,0.0,0.632,0.526
4G4DSoj1u9LWi7PkkCApG1,0.618,0.492,0.08333333333333333,0.17973333333333336,1.0,0.335,0.024,0.0,0.0902,0.406
5b3CioE31HDmoAmYlJeWwn,0.837,0.816,0.25,0.07531666666666667,0.0,0.223,0.132,0.0,0.094,0.512
7poHEhLB77OMzeh6sfozMA,0.773,0.583,0.75,0.13498333333333334,0.0,0.315,0.0824,0.0,0.277,0.799
1pR2t8MrNUm8rHz7ghuJAG,0.797,0.581,0.08333333333333333,0.10921666666666667,0.0,0.0681,0.101,0.0,0.0569,0.37
6jUrIMUXgiyxmf6WIyOnco,0.656,0.697,0.08333333333333333,0.06631666666666666,1.0,0.361,0.000108,0.0,0.161,0.2
0buTd8lwRNKRvHuDgbyzF5,0.83,0.562,0.3333333333333333,0.11726666666666666,0.0,0.207,0.0198,0.0,0.265,0.316
2XLBwmbmoSrGP4bnCqdVWj,0.664,0.561,0.6666666666666666,0.12866666666666665,0.0,0.0506,0.145,0.0,0.143,0.489
77VQHwQf3PJe1BZuBLzYQt,0.674,0.572,0.0,0.1474,0.0,0.403,0.106,0.0,0.104,0.667
6DuxLU1Uqvjgz1S2YdcpbG,0.538,0.678,0.16666666666666666,0.09351666666666666,1.0,0.381,0.0519,0.0,0.119,0.524
0Qc5ZSaOgSVjgVDaWVsWH0,0.874,0.731,0.6666666666666666,0.06968333333333333,1.0,0.3,0.386,2.09e-05,0.154,0.597
0EH29Rmc5ub2b759ArNxlW,0.704,0.717,0.6666666666666666,0.08111666666666667,1.0,0.132,0.3,0.0,0.428,0.703
1vOZHRN8bKUbUesiAhnTkk,0.866,0.548,0.08333333333333333,0.11208333333333333,1.0,0.372,0.051,0.0,0.0982,0.691
1GcXzijYzyfMq6wryZjYW5,0.896,0.78,0.08333333333333333,0.05911666666666667,1.0,0.202,0.0828,0.0,0.0857,0.85
16UIEoHFNZB9hzTvDO7m8m,0.681,0.572,0.9166666666666666,0.17401666666666668,0.0,0.0708,0.131,0.0,0.181,0.758
0qnHywpYq7D2SGMpuHEasL,0.888,0.715,0.6666666666666666,0.05628333333333333,0.0,0.274,0.128,0.0,0.0898,0.557
3DcL8FXLA9iKwqnyj9POLt,0.788,0.513,0.5833333333333334,0.15933333333333335,1.0,0.535,0.418,0.0,0.125,0.663
6q0nngYKSLic0bha0OQQfj,0.883,0.788,0.75,0.07415,1.0,0.121,0.0273,0.0,0.0983,0.568
2l8wbBST63jijlyDtVTAPi,0.965,0.308,0.5833333333333334,0.1776,1.0,0.383,0.378,0.0,0.0986,0.312
01LmNxhPP1pHf4rik5adVq,0.87,0.494,0.4166666666666667,0.11918333333333334,1.0,0.38,0.493,0.0,0.303,0.59
51h4KMFqZKSCRA5rK3curR,0.542,0.57,0.25,0.0951,0.0,0.227,0.19,0.0,0.124,0.583
27BBfeJZBFlZ60Sgx7iOgL,0.6,0.723,0.5,0.08213333333333334,0.0,0.158,0.109,0.0,0.167,0.463
2D7HKKtor1oWLAZRt5l2dN,0.949,0.55,0.4166666666666667,0.1154,0.0,0.277,0.134,0.0,0.0966,0.64
2PTWE4POfg3XBxSXxqf5cj,0.784,0.571,0.08333333333333333,0.15098333333333333,1.0,0.188,0.0487,0.0,0.0882,0.0961
34PhB0kHT00utubP3aTau8,0.871,0.715,0.25,0.13046666666666668,0.0,0.147,0.196,0.0,0.14,0.378
5Ovt51nBK2o4Ciw8X7qJc4,0.72,0.618,0.5,0.10826666666666668,0.0,0.22,0.49,0.0,0.173,0.446
1kHAeOQmufpGAbbrjYLcQL,0.919,0.566,0.3333333333333333,0.10233333333333333,0.0,0.301,0.0596,0.0,0.334,0.734
2hzeDi6y5AeYhWWxmEzYyV,0.816,0.45,0.08333333333333333,0.19285,0.0,0.448,0.0867,0.0,0.126,0.425
2Xoc4gqPbBa3QHKpBLJ5l8,0.912,0.568,0.16666666666666666,0.10178333333333334,1.0,0.476,0.0656,0.000105,0.0521,0.491
5Y8gxwzYNE5VzrHyqZq22f,0.675,0.678,0.9166666666666666,0.08616666666666667,1.0,0.361,0.314,0.0,0.0688,0.712
6038PsitaFpf3pIJxRMeTX,0.951,0.51,0.08333333333333333,0.08001666666666667,1.0,0.133,0.00308,3.06e-06,0.112,0.135
2q5NtOWy57wzao7RjMvXOM,0.787,0.501,0.08333333333333333,0.1522,1.0,0.25,0.0857,1.21e-05,0.115,0.361
4MZSNH42bE2dkj4a23jYw0,0.806,0.498,0.8333333333333334,0.11576666666666666,1.0,0.279,0.517,1.86e-06,0.147,0.322
3JrYhotuvJMiK6OuqYRBIp,0.961,0.665,0.08333333333333333,0.10658333333333332,1.0,0.136,0.0766,0.0,0.11,0.0515
1F3ZdA6UfEu3OivSoThFiM,0.731,0.667,0.5,0.11121666666666667,1.0,0.106,0.544,0.0,0.122,0.679
33KbuCRPAehiSEXilyy2IQ,0.972,0.647,0.9166666666666666,0.14331666666666668,0.0,0.177,0.0655,0.0,0.0906,0.542
3uzrG1ZgnMeATFf2KgAV6I,0.588,0.682,0.9166666666666666,0.12378333333333333,0.0,0.384,0.0881,0.0,0.154,0.501
6C7ZgThn6Yan5MTZdAEEFw,0.791,0.759,0.8333333333333334,0.12296666666666667,0.0,0.129,0.0314,0.674,0.255,0.619
0VAoDsKh7Or84V8xP7p1Fs,0.884,0.472,0.9166666666666666,0.2296,1.0,0.346,0.0142,0.0,0.142,0.826
7Afjy65bIVBMpFwCLTiuEe,0.847,0.807,0.9166666666666666,0.1258,0.0,0.378,0.185,0.0,0.514,0.698
2PRsh2LNPxoxC9OnErnelg,0.766,0.793,0.3333333333333333,0.11063333333333333,0.0,0.165,0.0294,7.97e-06,0.173,0.647
6jCGzZn0gFeRlbqdaJhw6T,0.433,0.862,0.08333333333333333,0.06483333333333334,0.0,0.412,0.193,0.0,0.604,0.722
3OcQkcvTcohs8vO8Rd3sKF,0.813,0.693,0.8333333333333334,0.13333333333333333,0.0,0.266,0.0341,0.0,0.121,0.618
15HgR9Ht4obJOcMG4wregp,0.904,0.577,0.08333333333333333,0.12155,1.0,0.132,0.125,0.0,0.115,0.7
68DGiGtJrVcGBeOf5UNpVz,0.816,0.471,0.8333333333333334,0.22073333333333334,0.0,0.291,0.112,0.0,0.117,0.742
1oTHteQbmJw15rPxPVXUTv,0.897,0.612,0.9166666666666666,0.17481666666666668,1.0,0.211,0.0297,0.186,0.0894,0.767
0KsDNN7cwBRqQSFUP9wkuV,0.787,0.984,0.8333333333333334,0.0552,0.0,0.166,0.15,0.0,0.0769,0.572
5BC50dLe7dZKVc3gPvJRx9,0.709,0.902,0.08333333333333333,0.05653333333333333,0.0,0.188,0.0364,0.0,0.0219,0.878
63LiOsvf1w1DSbmjbxjh4b,0.83,0.797,0.5833333333333334,0.11044999999999999,1.0,0.152,0.00257,0.0,0.272,0.886
6l1tmVO6bRmV7kSMsYaHZm,0.878,0.311,0.08333333333333333,0.29001666666666664,1.0,0.324,0.0953,0.0,0.0808,0.486
0InwTyum9iasoG9ajmJWg7,0.793,0.907,0.08333333333333333,0.12435,1.0,0.182,0.0231,0.00738,0.0798,0.826
4k9EkhkFZY8Bk41Qi0Ob7P,0.867,0.679,0.8333333333333334,0.20046666666666668,0.0,0.207,0.0336,1.59e-06,0.0742,0.68
4iRdjKyOM0nGAyVYYN4ExQ,0.823,0.723,0.08333333333333333,0.2595166666666667,0.0,0.272,0.0092,0.103,0.12,0.146
6hTBP6QLwJdxbKyLlLXrGo,0.863,0.543,0.5,0.22495,1.0,0.13,0.0507,0.0,0.241,0.799
6jL1SnyXcXiKOmw4M2RnmT,0.62,0.445,0.08333333333333333,0.2859,0.0,0.382,0.00273,0.0145,0.333,0.587
4WHQzXnWyTlE1UOmmxRDOw,0.711,0.595,0.08333333333333333,0.2165,1.0,0.036,0.0484,0.0327,0.208,0.836
4usfXMswVpCtsSfJwl6LjH,0.788,0.446,0.5833333333333334,0.3032166666666667,1.0,0.188,0.00655,0.000128,0.0713,0.783
5JKSty49E9iv1Tj6lfx68n,0.614,0.621,0.5,0.17383333333333334,0.0,0.362,0.0308,0.000316,0.145,0.643
3cyj9xaVinLyyzqT27o5bL,0.794,0.536,0.0,0.23911666666666667,1.0,0.307,0.0121,2.48e-06,0.35,0.528
3KKrZ3adgWcJiJQWFqoDnv,0.926,0.427,0.5,0.17885,1.0,0.115,0.0258,0.000281,0.329,0.634
2WM2CK6rAf43NvHxGwWUo8,0.71,0.515,0.08333333333333333,0.23171666666666668,1.0,0.39,0.00523,1.75e-06,0.0895,0.388
6i4Gu9ogL4kClgBzj3NZ6g,0.731,0.857,0.75,0.22263333333333335,1.0,0.19,0.0798,8.8e-06,0.0772,0.691
63BokRfXSQhEU6Qi2dSJpZ,0.886,0.512,0.8333333333333334,0.19708333333333333,0.0,0.237,0.207,0.0,0.0991,0.454
0bskKGZvp1HsNn6oD8Q8Jl,0.805,0.822,0.9166666666666666,0.11341666666666667,0.0,0.198,0.149,0.0,0.115,0.788
